TIME: 0.000, TIME STEP: 0.001, STEADY TIME: 0.000, FINAL TIME: 0.010, NUMBER OF PARTICLES : 2021, LINEAR SIZE (L) = 126.00, SELF-VELOCITY (V0): 1.00
SET PARAMETERS: PHI = 0.10, Pe = 1.00, TAU = 1.0, SAMPLE = 0
X           Y        X_VIRTUAL     Y_VIRTUAL       VX         VY         THETA
94.488098  12.143722   94.488098   12.143722    0.448693    0.893686    1.105494 
72.755453  98.984487   72.755453   98.984487    15.210770    -26.219552    5.542893 
46.464216  110.110971   46.464216   110.110971    -0.333930    -0.942598    4.371919 
56.201813  44.568814   56.201813   44.568814    0.028277    -0.939499    4.682093 
32.787887  49.680019   32.787887   49.680019    -0.084738    -0.996403    4.627549 
106.474136  72.545183   106.474136   72.545183    -0.291300    -4.130634    4.892144 
10.458313  57.432991   10.458313   57.432991    -0.222173    -0.975007    4.488346 
68.699524  49.227118   68.699524   49.227118    0.792516    0.609851    0.655872 
120.841472  109.332171   120.841472   109.332171    -0.900208    -0.435459    3.592141 
34.714587  32.806385   34.714587   32.806385    0.461755    0.887007    1.090823 
54.929638  99.473244   54.929638   99.473244    3.385456    1.175358    5.801717 
10.358596  118.521628   10.358596   118.521628    0.679617    0.733567    0.823556 
19.431573  48.155080   19.431573   48.155080    0.995552    0.094211    0.094351 
66.696561  110.483745   66.696561   110.483745    0.550407    0.834897    0.987945 
33.261851  39.515798   33.261851   39.515798    9.666668    2.890990    2.664126 
13.531335  97.150328   13.531335   97.150328    0.083531    -0.996505    4.796017 
27.548405  95.985062   27.548405   95.985062    -0.192441    -0.981309    4.518740 
81.740950  117.163154   81.740950   117.163154    -11.230109    -11.334341    2.507224 
86.616526  54.947483   86.616526   54.947483    -0.999730    0.023218    3.118373 
72.645618  79.709697   72.645618   79.709697    -0.769693    -0.638414    3.834029 
79.661736  17.425354   79.661736   17.425354    -0.981335    0.192307    2.948080 
18.178704  56.305270   18.178704   56.305270    -12.546436    23.202985    6.016045 
120.025094  45.132039   120.025094   45.132039    -0.499978    0.866038    2.094370 
12.760714  120.341452   12.760714   120.341452    -0.760583    0.649240    2.435007 
72.593635  109.116837   72.593635   109.116837    21.404325    11.705882    6.198765 
114.554920  82.054066   114.554920   82.054066    1.965482    -3.749611    0.884504 
120.330799  121.749590   120.330799   121.749590    0.876529    0.481350    0.502194 
101.451022  71.976997   101.451022   71.976997    0.254966    -0.966950    4.970202 
121.281168  73.015074   121.281168   73.015074    -0.264054    0.964508    1.838020 
47.304020  116.349705   47.304020   116.349705    -0.938209    0.346069    2.788214 
96.877342  91.111627   96.877342   91.111627    0.984868    0.173306    0.174185 
53.663752  80.926462   53.663752   80.926462    1.796287    16.436248    3.761214 
8.696368  6.714164   8.696368   6.714164    0.030864    -0.999524    4.743258 
88.641614  15.278588   88.641614   15.278588    0.174941    -0.984579    4.888234 
9.387651  86.671274   9.387651   86.671274    -0.338226    0.941065    1.915828 
91.909300  24.518605   91.909300   24.518605    -0.656316    0.754486    2.286722 
20.386406  104.862169   20.386406   104.862169    0.565100    0.825022    0.970242 
39.959066  66.494488   39.959066   66.494488    -0.955597    -0.294675    3.440708 
26.922579  91.930602   26.922579   91.930602    -0.907475    0.420107    2.708029 
73.840967  60.187220   73.840967   60.187220    -20.799042    30.032358    0.023084 
96.008383  16.102848   96.008383   16.102848    -23.595823    8.368421    5.828504 
63.000147  106.441397   63.000147   106.441397    0.983064    0.183260    0.184302 
11.467733  108.076088   11.467733   108.076088    0.662320    -0.749221    5.436300 
72.888275  12.534666   72.888275   12.534666    0.275244    -0.961375    4.991232 
94.147282  114.453962   94.147282   114.453962    0.515331    -0.856992    5.253782 
111.444782  121.207766   111.444782   121.207766    -10.516509    2.388933    3.239118 
59.709253  52.611796   59.709253   52.611796    -0.929888    -0.367843    3.518281 
110.904824  73.826951   110.904824   73.826951    -0.574140    -0.818757    4.100836 
125.918976  20.056535   125.918976   20.056535    1.301435    -0.081397    1.358835 
88.399504  124.256917   88.399504   124.256917    6.805684    -4.995512    4.275528 
82.514427  106.368865   82.514427   106.368865    -0.535914    -0.844273    4.146800 
122.240384  41.787018   122.240384   41.787018    1.701554    -1.950796    4.352819 
20.080229  108.772228   20.080229   108.772228    0.339174    -0.940724    5.058428 
52.914019  123.650393   52.914019   123.650393    -0.800950    -0.598731    3.783508 
58.469324  31.101536   58.469324   31.101536    0.653632    -0.756812    5.424763 
106.249177  92.799024   106.249177   92.799024    0.594896    -0.803803    5.349525 
60.086114  98.829920   60.086114   98.829920    8.688576    3.459880    0.861671 
71.670120  55.951612   71.670120   55.951612    -0.999996    -0.002929    3.144522 
41.813857  53.755592   41.813857   53.755592    0.974708    0.223481    0.225385 
11.095052  85.035442   11.095052   85.035442    -0.879695    -0.475538    3.637168 
29.698330  93.824870   29.698330   93.824870    -0.856612    -0.515960    3.683721 
108.897150  9.377929   108.897150   9.377929    0.964445    -0.264283    6.015725 
48.233718  0.232347   48.233718   0.232347    -0.973786    -0.227468    3.371070 
6.760671  2.650650   6.760671   2.650650    -0.228681    -0.973502    4.481667 
79.249043  117.306792   79.249043   117.306792    0.020739    -0.999785    4.733130 
52.167276  49.512871   52.167276   49.512871    -0.975126    -0.221652    3.365101 
38.799050  26.367937   38.799050   26.367937    -19.570779    2.435130    1.208749 
46.863687  20.241249   46.863687   20.241249    -0.730652    -0.682751    3.893113 
101.174534  23.112022   101.174534   23.112022    -0.951438    0.307842    2.828669 
60.062303  17.860063   60.062303   17.860063    -0.193206    -0.981158    4.517961 
30.562263  15.642216   30.562263   15.642216    -0.700673    -0.713483    3.936049 
13.030343  95.054525   13.030343   95.054525    0.652595    -0.757707    5.423394 
70.147903  9.858673   70.147903   9.858673    -0.769819    0.638262    2.449354 
78.772536  99.493075   78.772536   99.493075    -0.676946    0.736033    2.314401 
103.853797  69.541892   103.853797   69.541892    -0.913171    0.407576    2.721795 
61.590377  33.034240   61.590377   33.034240    -0.181835    -0.983329    4.529537 
61.684493  61.929255   61.684493   61.929255    -0.997358    0.072643    3.068885 
115.781772  45.606033   115.781772   45.606033    0.601027    -0.799229    5.357174 
76.170083  76.816624   76.170083   76.816624    -0.942958    -0.332912    3.480983 
89.045899  27.235375   89.045899   27.235375    -0.947029    0.321147    2.814652 
38.604924  99.065850   38.604924   99.065850    0.148362    -0.988933    4.861301 
113.234015  117.624424   113.234015   117.624424    10.959647    -7.785406    0.554981 
77.937763  8.431530   77.937763   8.431530    0.962094    -0.272719    6.006967 
79.462414  9.352707   79.462414   9.352707    -0.149404    1.589452    0.715141 
29.493657  77.117385   29.493657   77.117385    -16.034855    10.130114    3.500279 
72.022606  72.340659   72.022606   72.340659    -11.881435    -15.945395    5.872042 
15.226650  29.759296   15.226650   29.759296    -0.978397    0.206734    2.933357 
70.210718  108.836197   70.210718   108.836197    0.999805    0.019736    6.302922 
91.972757  103.479475   91.972757   103.479475    -0.190970    0.981596    1.762947 
74.722984  14.132194   74.722984   14.132194    -0.998436    -0.055901    3.197523 
88.087627  74.937482   88.087627   74.937482    5.199411    -9.970206    1.106571 
54.319678  26.469181   54.319678   26.469181    0.746473    -0.665416    5.555135 
86.623524  27.484672   86.623524   27.484672    0.404385    0.914589    1.154490 
28.114147  62.078947   28.114147   62.078947    3.515733    4.297805    1.710263 
56.202802  29.768300   56.202802   29.768300    -0.137101    0.990557    1.708330 
81.979192  94.471266   81.979192   94.471266    -0.260949    0.965352    1.834802 
53.535859  95.703125   53.535859   95.703125    -0.382704    -0.923871    4.319668 
47.122109  80.778810   47.122109   80.778810    -0.788416    0.615142    2.479027 
113.314572  82.596113   113.314572   82.596113    16.861211    16.837043    3.345177 
1.239170  21.727946   1.239170   21.727946    0.915995    -0.401190    5.870370 
96.520238  85.217558   96.520238   85.217558    -0.701689    -0.712483    3.934623 
95.190742  112.886896   95.190742   112.886896    0.169906    -0.985460    4.883123 
80.211683  75.246809   80.211683   75.246809    0.133869    0.990999    1.436524 
46.013979  8.935084   46.013979   8.935084    -0.717680    -0.696373    3.911924 
45.498796  60.938356   45.498796   60.938356    0.040473    0.999181    1.530312 
36.527760  30.077622   36.527760   30.077622    -0.998894    -0.047016    3.188626 
113.109663  84.597536   113.109663   84.597536    0.153601    -5.170761    4.060830 
105.539932  72.075620   105.539932   72.075620    0.956476    0.291811    0.296120 
3.331757  59.890807   3.331757   59.890807    0.306817    0.951769    1.258950 
21.186063  76.916009   21.186063   76.916009    31.024451    0.622422    3.587067 
38.629914  120.556666   38.629914   120.556666    24.493122    1.882308    4.043443 
80.136726  8.654240   80.136726   8.654240    1.034618    -1.925215    4.842973 
95.419918  60.547944   95.419918   60.547944    22.262936    27.831074    0.885327 
14.530672  80.726172   14.530672   80.726172    7.218265    1.983223    4.489918 
89.014393  98.785646   89.014393   98.785646    21.480329    6.316494    2.458244 
33.835944  98.339032   33.835944   98.339032    -0.204725    -0.978819    4.506206 
34.906901  10.228004   34.906901   10.228004    14.827383    -10.042837    0.734088 
24.707542  78.021126   24.707542   78.021126    0.192321    0.981332    1.377269 
69.211792  71.508923   69.211792   71.508923    -0.780753    -0.624839    3.816518 
9.074150  111.238232   9.074150   111.238232    0.710742    0.703453    0.780245 
71.288500  39.895147   71.288500   39.895147    0.586518    0.809936    0.944043 
25.904062  85.210410   25.904062   85.210410    -0.553699    0.832717    2.157596 
5.339912  102.811393   5.339912   102.811393    0.982807    0.184633    0.185699 
